_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
1,1,1,1 - FREEPORT ROAD,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6837,Clever
2,1,1,1 - FREEPORT ROAD,Ross,Bus,1/1/2017,201701,SAT.,0.6977,Clever
3,1,1,1 - FREEPORT ROAD,Ross,Bus,1/1/2017,201701,SUN.,0.628,Clever
4,2,2,2 - MOUNT ROYAL,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6978,Clever
5,4,4,4 - TROY HILL,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7438,Clever
6,4,4,4 - TROY HILL,Ross,Bus,1/1/2017,201701,SAT.,0.7042,Clever
7,6,6,6 - SPRING HILL,Ross,Bus,1/1/2017,201701,WEEKDAY,0.8049,Clever
8,6,6,6 - SPRING HILL,Ross,Bus,1/1/2017,201701,SAT.,0.7361,Clever
9,6,6,6 - SPRING HILL,Ross,Bus,1/1/2017,201701,SUN.,0.7749,Clever
10,7,7,7 - SPRING GARDEN,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6233,Clever
11,8,8,8 - PERRYSVILLE,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7239,Clever
12,8,8,8 - PERRYSVILLE,Ross,Bus,1/1/2017,201701,SAT.,0.735,Clever
13,8,8,8 - PERRYSVILLE,Ross,Bus,1/1/2017,201701,SUN.,0.7475,Clever
14,11,11,11 - FINEVIEW,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7438,Clever
15,11,11,11 - FINEVIEW,Ross,Bus,1/1/2017,201701,SAT.,0.6715,Clever
16,11,11,11 - FINEVIEW,Ross,Bus,1/1/2017,201701,SUN.,0.7362,Clever
17,12,12,12 - MCKNIGHT,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6842,Clever
18,12,12,12 - MCKNIGHT,Ross,Bus,1/1/2017,201701,SAT.,0.6137,Clever
19,12,12,12 - MCKNIGHT,Ross,Bus,1/1/2017,201701,SUN.,0.7228,Clever
20,13,13,13 - BELLEVUE,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6795,Clever
21,13,13,13 - BELLEVUE,Ross,Bus,1/1/2017,201701,SAT.,0.7552,Clever
22,13,13,13 - BELLEVUE,Ross,Bus,1/1/2017,201701,SUN.,0.781,Clever
23,14,14,14 - OHIO VALLEY,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7055,Clever
24,14,14,14 - OHIO VALLEY,Ross,Bus,1/1/2017,201701,SAT.,0.7178,Clever
25,14,14,14 - OHIO VALLEY,Ross,Bus,1/1/2017,201701,SUN.,0.7537,Clever
26,15,15,15 - CHARLES,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7717,Clever
27,15,15,15 - CHARLES,Ross,Bus,1/1/2017,201701,SAT.,0.8209,Clever
28,15,15,15 - CHARLES,Ross,Bus,1/1/2017,201701,SUN.,0.709,Clever
29,16,16,16 - BRIGHTON,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7411,Clever
30,16,16,16 - BRIGHTON,Ross,Bus,1/1/2017,201701,SAT.,0.7729,Clever
31,16,16,16 - BRIGHTON,Ross,Bus,1/1/2017,201701,SUN.,0.7843,Clever
32,17,17,17 - SHADELAND,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7196,Clever
33,17,17,17 - SHADELAND,Ross,Bus,1/1/2017,201701,SAT.,0.7238,Clever
34,17,17,17 - SHADELAND,Ross,Bus,1/1/2017,201701,SUN.,0.6811,Clever
35,18,18,18 - MANCHESTER,Ross,Bus,1/1/2017,201701,WEEKDAY,0.7322,Clever
36,19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,1/1/2017,201701,WEEKDAY,0.6682,Clever
37,20,20,20 - KENNEDY,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7552,Clever
38,21,21,21 - CORAOPOLIS,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6752,Clever
39,21,21,21 - CORAOPOLIS,Collier,Bus,1/1/2017,201701,SAT.,0.7482,Clever
40,21,21,21 - CORAOPOLIS,Collier,Bus,1/1/2017,201701,SUN.,0.7237,Clever
41,22,22,22 - MCCOY,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7054,Clever
42,22,22,22 - MCCOY,Collier,Bus,1/1/2017,201701,SAT.,0.763,Clever
43,24,24,24 - WEST PARK,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6794,Clever
44,24,24,24 - WEST PARK,Collier,Bus,1/1/2017,201701,SAT.,0.7282,Clever
45,24,24,24 - WEST PARK,Collier,Bus,1/1/2017,201701,SUN.,0.6752,Clever
46,26,26,26 - CHARTIERS,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7258,Clever
47,26,26,26 - CHARTIERS,Collier,Bus,1/1/2017,201701,SAT.,0.8118,Clever
48,26,26,26 - CHARTIERS,Collier,Bus,1/1/2017,201701,SUN.,0.8028,Clever
49,27,27,27 - FAIRYWOOD,Collier,Bus,1/1/2017,201701,WEEKDAY,0.7586,Clever
50,27,27,27 - FAIRYWOOD,Collier,Bus,1/1/2017,201701,SAT.,0.8136,Clever
51,27,27,27 - FAIRYWOOD,Collier,Bus,1/1/2017,201701,SUN.,0.7656,Clever
52,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,1/1/2017,201701,WEEKDAY,0.633,Clever
53,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,1/1/2017,201701,SAT.,0.6699,Clever
54,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,1/1/2017,201701,SUN.,0.7555,Clever
55,29,29,29 - ROBINSON,Collier,Bus,1/1/2017,201701,WEEKDAY,0.6138,Clever
